"","name","total","percent","code"
"1","Albania",9,0.39,"ALB"
"2","Algeria",2,0.09,"DZA"
"3","Antigua And Barbuda",1,0.04,"ATG"
"4","Argentina",53,2.31,"ARG"
"5","Armenia",1,0.04,"ARM"
"6","Australia",101,4.4,"AUS"
"7","Austria",1,0.04,"AUT"
"8","Azerbaijan",1,0.04,"AZE"
"9","Bangladesh",1,0.04,"BGD"
"10","Belarus",1,0.04,"BLR"
"11","Belgium",4,0.17,"BEL"
"12","Belize",0,0,"BLZ"
"13","Bermuda",0,0,"BMU"
"14","Bolivia, Plurinational State Of",4,0.17,"BOL"
"15","Bosnia And Herzegovina",0,0,"BIH"
"16","Botswana",0,0,"BWA"
"17","Brazil",87,3.79,"BRA"
"18","Bulgaria",9,0.39,"BGR"
"19","Burundi",5,0.22,"BDI"
"20","Cambodia",2,0.09,"KHM"
"21","Cameroon",3,0.13,"CMR"
"22","Canada",64,2.79,"CAN"
"23","Chile",3,0.13,"CHL"
"24","China",246,10.73,"CHN"
"25","Colombia",2,0.09,"COL"
"26","Costa Rica",3,0.13,"CRI"
"27","Croatia",2,0.09,"HRV"
"28","Cuba",6,0.26,"CUB"
"29","Czechia",0,0,"CZE"
"30","Denmark",2,0.09,"DNK"
"31","Dominican Republic",3,0.13,"DOM"
"32","Ecuador",4,0.17,"ECU"
"33","Egypt",2,0.09,"EGY"
"34","El Salvador",1,0.04,"SLV"
"35","Ethiopia",3,0.13,"ETH"
"36","Fiji",2,0.09,"FJI"
"37","Finland",0,0,"FIN"
"38","France",5,0.22,"FRA"
"39","Georgia",7,0.31,"GEO"
"40","Germany",3,0.13,"DEU"
"41","Ghana",2,0.09,"GHA"
"42","Greece",6,0.26,"GRC"
"43","Guatemala",3,0.13,"GTM"
"44","Guyana",1,0.04,"GUY"
"45","Haiti",3,0.13,"HTI"
"46","Honduras",8,0.35,"HND"
"47","Hong Kong",0,0,"HKG"
"48","Hungary",0,0,"HUN"
"49","India",187,8.16,"IND"
"50","Indonesia",9,0.39,"IDN"
"51","Iraq",4,0.17,"IRQ"
"52","Ireland",0,0,"IRL"
"53","Israel",6,0.26,"ISR"
"54","Italy",1,0.04,"ITA"
"55","Jamaica",0,0,"JAM"
"56","Japan",332,14.48,"JPN"
"57","Jordan",8,0.35,"JOR"
"58","Kazakhstan",1,0.04,"KAZ"
"59","Kenya",7,0.31,"KEN"
"60","Korea, Republic Of",3,0.13,"KOR"
"61","Kyrgyzstan",0,0,"KGZ"
"62","Latvia",9,0.39,"LVA"
"63","Lebanon",6,0.26,"LBN"
"64","Liberia",5,0.22,"LBR"
"65","Libya",3,0.13,"LBY"
"66","Malawi",4,0.17,"MWI"
"67","Malaysia",2,0.09,"MYS"
"68","Mexico",5,0.22,"MEX"
"69","Mongolia",5,0.22,"MNG"
"70","Morocco",0,0,"MAR"
"71","Mozambique",3,0.13,"MOZ"
"72","Myanmar",5,0.22,"MMR"
"73","Nepal",4,0.17,"NPL"
"74","Netherlands",2,0.09,"NLD"
"75","New Zealand",23,1,"NZL"
"76","Nicaragua",0,0,"NIC"
"77","Nigeria",3,0.13,"NGA"
"78","Norway",0,0,"NOR"
"79","Pakistan",10,0.44,"PAK"
"80","Palestine, State Of",1,0.04,"PSE"
"81","Panama",8,0.35,"PAN"
"82","Paraguay",6,0.26,"PRY"
"83","Peru",3,0.13,"PER"
"84","Philippines",2,0.09,"PHL"
"85","Poland",3,0.13,"POL"
"86","Portugal",8,0.35,"PRT"
"87","Puerto Rico",1,0.04,"PRI"
"88","Romania",3,0.13,"ROU"
"89","Russian Federation",2,0.09,"RUS"
"90","Rwanda",3,0.13,"RWA"
"91","R̩union",1,0.04,"REU"
"92","Saudi Arabia",3,0.13,"SAU"
"93","Senegal",2,0.09,"SEN"
"94","Serbia",2,0.09,"SRB"
"95","Sierra Leone",1,0.04,"SLE"
"96","Singapore",0,0,"SGP"
"97","Slovakia",7,0.31,"SVK"
"98","Somalia",5,0.22,"SOM"
"99","South Africa",1,0.04,"ZAF"
"100","South Sudan",1,0.04,"SSD"
"101","Spain",3,0.13,"ESP"
"102","Sri Lanka",6,0.26,"LKA"
"103","Sudan",2,0.09,"SDN"
"104","Sweden",5,0.22,"SWE"
"105","Switzerland",1,0.04,"CHE"
"106","Taiwan",3,0.13,"TWN"
"107","Tanzania, United Republic Of",5,0.22,"TZA"
"108","Thailand",6,0.26,"THA"
"109","Timor-Leste",6,0.26,"TLS"
"110","Togo",2,0.09,"TGO"
"111","Trinidad And Tobago",4,0.17,"TTO"
"112","Tunisia",2,0.09,"TUN"
"113","Turkey",7,0.31,"TUR"
"114","Uganda",4,0.17,"UGA"
"115","Ukraine",1,0.04,"UKR"
"116","United Arab Emirates",3,0.13,"ARE"
"117","United Kingdom",112,4.88,"GBR"
"118","United States",734,32.01,"USA"
"119","Uruguay",4,0.17,"URY"
"120","Venezuela, Bolivarian Republic Of",5,0.22,"VEN"
"121","Viet Nam",1,0.04,"VNM"
"122","Zimbabwe",1,0.04,"ZWE"
